Refs,value,Vendor,Vendor Part #,Price,datasheet,footprint
C1,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C10,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C11,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C2,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C20,120μF,Mouser,74-293D127X96R3D2TE3,0.87,https://www.mouser.com/datasheet/2/427/293d-1763499.pdf,Vishay:CAPPM7343X310N
C21,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C22,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C3,4.7μF,Mouser,80-C1210C475J3N,0.93,https://www.mouser.com/datasheet/2/212/KEM_C1008_X8L_150C_SMD-1101219.pdf,Capacitor_SMD:C_1206_3216Metric
C30,120μF,Mouser,74-293D127X96R3D2TE3,0.87,https://www.mouser.com/datasheet/2/427/293d-1763499.pdf,Vishay:CAPPM7343X310N
C31,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C32,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C4,0.1μF,Mouser,581-12105C104JAT2A,0.46,https://www.mouser.com/datasheet/2/40/X7RDielectric-777024.pdf,Capacitor_SMD:C_1206_3216Metric
C40,120μF,Mouser,74-293D127X96R3D2TE3,0.87,https://www.mouser.com/datasheet/2/427/293d-1763499.pdf,Vishay:CAPPM7343X310N
C41,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C42,22pF,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1206_3216Metric
C5,4.7μF,Mouser,80-C1210C475J3N,0.93,https://www.mouser.com/datasheet/2/212/KEM_C1008_X8L_150C_SMD-1101219.pdf,Capacitor_SMD:C_1206_3216Metric
J1,USB_B_Micro,Mouser,490-UJ2-MIBH-4-SMT,0.79,https://www.mouser.com/datasheet/2/670/uj2_mibh_4_smt-1313358.pdf,CUI:UJ2-MIBH-4-SMT
J2,USB_A,Mouser,710-62900416021,2.36,https://www.mouser.com/datasheet/2/445/62900416021-1718169.pdf,Wurth:62900416021
J3,USB_A,Mouser,710-62900416021,2.36,https://www.mouser.com/datasheet/2/445/62900416021-1718169.pdf,Wurth:62900416021
J4,USB_A,Mouser,710-62900416021,2.36,https://www.mouser.com/datasheet/2/445/62900416021-1718169.pdf,Wurth:62900416021
JP1,NP3_SEL,Mouser,649-1012937890301BLF,0.1,https://www.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
